llm,id,dataset,prompt,similarity
gpt,1458034,facebook,R,0.9061919868281323
gpt,1447757,facebook,R,0.9203669362808333
gpt,1396033,facebook,R,0.970079119218024
gpt,1403450,facebook,R,0.922644232609988
gpt,1451333,facebook,R,0.9515979094094481
gpt,1444186,facebook,R,0.9427062281893103
gpt,1441403,facebook,R,0.951666034334683
gpt,1411992,facebook,R,0.9619968775145293
gpt,1443838,facebook,R,0.9712751424163327
gpt,1423887,facebook,R,0.9251982354035648
gpt,1442248,facebook,R,0.9705271179958825
gpt,1458471,facebook,R,0.9530385625887946
gpt,1447154,facebook,R,0.9769025625138306
gpt,1421150,facebook,R,0.9696965694200792
gpt,1424174,facebook,R,0.9656188130984107
gpt,1432032,facebook,R,0.9611906412384605
gpt,1399969,facebook,R,0.9594632966962688
gpt,1413667,facebook,R,0.9636234538670405
gpt,1450257,facebook,R,0.9640453891814491
gpt,1432978,facebook,R,0.955460760779961
gpt,1443448,facebook,R,0.9306353159627035
gpt,1432759,facebook,R,0.9330674400764833
gpt,1442254,facebook,R,0.9649907029307564
gpt,1448843,facebook,R,0.9750519161881901
gpt,1396820,facebook,R,0.9494122010791319
gpt,1426237,facebook,R,0.9498965731153991
gpt,1438446,facebook,R,0.9666480555623183
gpt,1438520,facebook,R,0.9352928230077368
gpt,1451418,facebook,R,0.9490381269907433
gpt,1454244,facebook,R,0.8678670155377854
gpt,1425968,facebook,R,0.9621642977067691
gpt,1452177,facebook,R,0.9792535242159164
gpt,1439186,facebook,R,0.9468878286976167
gpt,1426917,facebook,R,0.9523721296410257
gpt,1426235,facebook,R,0.9577448051168873
gpt,1447442,facebook,R,0.9323306755215796
gpt,1393714,facebook,R,0.9754174165488003
gpt,1424844,facebook,R,0.9643436230398257
gpt,1449957,facebook,R,0.9803043778530726
gpt,1443759,facebook,R,0.9601391047432037
gpt,1407337,facebook,R,0.9688079524827959
gpt,1427794,facebook,R,0.9558851449294548
gpt,1402869,facebook,R,0.9216939256945061
gpt,1429872,facebook,R,0.9624840248481179
gpt,1420410,facebook,R,0.9692855680125596
gpt,1448684,facebook,R,0.9641793293759712
gpt,1399212,facebook,R,0.9556450685721145
gpt,1435223,facebook,R,0.9826609677372479
gpt,1435534,facebook,R,0.9551745447870551
gpt,1446491,facebook,R,0.9578717075057519
gpt,1393929,facebook,R,0.9624199587298254
gpt,1446547,facebook,R,0.9446456809476185
gpt,1455825,facebook,R,0.9183289065197969
gpt,1413148,facebook,R,0.9609454548664704
gpt,1424961,facebook,R,0.9611764149608176
gpt,1432041,facebook,R,0.9680760895843277
gpt,1451443,facebook,R,0.9431042436680207
gpt,1413163,facebook,R,0.9818580197609711
gpt,1447903,facebook,R,0.9626880290740565
gpt,1441146,facebook,R,0.9678907069786002
gpt,1423945,facebook,R,0.9585191368791997
gpt,1428792,facebook,R,0.972191604009369
gpt,1425582,facebook,R,0.9274898905142319
gpt,1425787,facebook,R,0.9572937947698026
gpt,1420958,facebook,R,0.9707593988183547
gpt,1392515,facebook,R,0.9214720144895955
gpt,1422641,facebook,R,0.949187724479861
gpt,1414187,facebook,R,0.9705613152187991
gpt,1397588,facebook,R,0.8586194105700793
gpt,1400859,facebook,R,0.9564718343223141
gpt,1403230,facebook,R,0.9732113200350923
gpt,1423338,facebook,R,0.975133869267713
gpt,1443800,facebook,R,0.8921202640612219
gpt,1450260,facebook,R,0.9499754110724615
gpt,1430844,facebook,R,0.9372991397445378
gpt,1437312,facebook,R,0.9437954637745192
gpt,1400431,facebook,R,0.9834004457510895
gpt,1420747,facebook,R,0.9661771508117153
gpt,1421556,facebook,R,0.9494007810077226
gpt,1431757,facebook,R,0.9586941833570276
gpt,1441455,facebook,R,0.9704703467341975
gpt,1426559,facebook,R,0.9665758554901454
gpt,1419618,facebook,R,0.9703758562080111
gpt,1424490,facebook,R,0.9566304644742628
gpt,1419411,facebook,R,0.9760295562365534
gpt,1422454,facebook,R,0.9833774833710166
gpt,1417753,facebook,R,0.9544697435341467
gpt,1400033,facebook,R,0.9601872043718975
gpt,1400815,facebook,R,0.9701320396670129
gpt,1396894,facebook,R,0.9810663795889292
gpt,1430654,facebook,R,0.9509192583237346
gpt,1430014,facebook,R,0.9663048616996337
gpt,1416532,facebook,R,0.9438687433435399
gpt,1421086,facebook,R,0.956820898556092
gpt,1435299,facebook,R,0.9102777651145798
gpt,1428378,facebook,R,0.9554885351460087
gpt,1419584,facebook,R,0.9761858791763693
gpt,1438308,facebook,R,0.9761407225732407
gpt,1432551,facebook,R,0.9556835567144253
gpt,1423973,facebook,R,0.9621353497118204
gpt,1431324,facebook,R,0.9557662094171824
gpt,1446715,facebook,R,0.9693313596967649
gpt,1417730,facebook,R,0.9324860569314752
gpt,1422533,facebook,R,0.943117167786666
gpt,1393198,facebook,R,0.9446085410592642
gpt,1437619,facebook,R,0.9783842163338393
gpt,1454456,facebook,R,0.9685254929829932
gpt,1455607,facebook,R,0.9658028970920237
gpt,1421851,facebook,R,0.9481882038678614
gpt,1395915,facebook,R,0.9476903593967515
gpt,1401337,facebook,R,0.9669888978934642
gpt,1458014,facebook,R,0.9785276052459871
gpt,1441098,facebook,R,0.9676599572702947
gpt,1444095,facebook,R,0.9614887895239284
gpt,1398530,facebook,R,0.9687208873905448
gpt,1423543,facebook,R,0.9700065076386464
gpt,1432126,facebook,R,0.9590913700830661
gpt,1447266,facebook,R,0.7848107915141951
gpt,1440204,facebook,R,0.9912057151974153
gpt,1446442,facebook,R,0.9439121646063633
gpt,1427215,facebook,R,0.9640604981521401
gpt,1400324,facebook,R,0.950373272817447
gpt,1458339,facebook,R,0.9735158647811943
gpt,1442406,facebook,R,0.9440997967947027
gpt,1450731,facebook,R,0.9741558216694621
gpt,1433564,facebook,R,0.9634412935548082
gpt,1435532,facebook,R,0.9719835849227206
gpt,1452016,facebook,R,0.921382918777666
gpt,1392688,facebook,R,0.943709445371658
gpt,1457678,facebook,R,0.883718648970738
gpt,1390347,facebook,R,0.9418786162833885
gpt,1442437,facebook,R,0.9173633597524817
gpt,1440466,facebook,R,0.9024860046637219
gpt,1419703,facebook,R,0.9685980128394686
gpt,1435101,facebook,R,0.9394036067293308
gpt,1397104,facebook,R,0.973312509782192
gpt,1424308,facebook,R,0.960314024351725
gpt,1453144,facebook,R,0.965999732058757
gpt,1446796,facebook,R,0.96975081265981
gpt,1443471,facebook,R,0.9237583685399904
gpt,1449769,facebook,R,0.9294083358763876
gpt,1430215,facebook,R,0.9704856989831825
gpt,1456958,facebook,R,0.9528918417601171
gpt,1402345,facebook,R,0.9426587581335089
gpt,1436085,facebook,R,0.9681691153976354
gpt,1426737,facebook,R,0.942183277492157
gpt,1419936,facebook,R,0.9754486906020854
gpt,1417861,facebook,R,0.9524762985714951
gpt,1431793,facebook,R,0.9508940405535355
gpt,1416027,facebook,R,0.9540308969695599
gpt,1437113,facebook,R,0.972195491647181
gpt,1447624,facebook,R,0.9647924562676307
gpt,1442641,facebook,R,0.8734025476372351
gpt,1395287,facebook,R,0.9775365582699143
gpt,1441345,facebook,R,0.9461534257391975
gpt,1450153,facebook,R,0.9539521428705031
gpt,1453101,facebook,R,0.9489364441489655
gpt,1452135,facebook,R,0.9412218962502984
gpt,1425246,facebook,R,0.9680305305748415
gpt,1402472,facebook,R,0.9742365925006924
gpt,1433909,facebook,R,0.9128945558926366
gpt,1436841,facebook,R,0.9551437556721777
gpt,1446881,facebook,R,0.9620132810189004
gpt,1440762,facebook,R,0.9587693772095827
gpt,1425325,facebook,R,0.9334676734806631
gpt,1433192,facebook,R,0.974835637603935
gpt,1445231,facebook,R,0.9650446842325148
gpt,1401828,facebook,R,0.9554906683483679
gpt,1449104,facebook,R,0.9291094519135464
gpt,1444235,facebook,R,0.95437509669173
gpt,1435727,facebook,R,0.960503255111776
gpt,1432071,facebook,R,0.9054122990751758
gpt,1427151,facebook,R,0.9655160172484472
gpt,1424862,facebook,R,0.950670439094091
gpt,1440036,facebook,R,0.9558003555108981
gpt,1451536,facebook,R,0.9626150597104105
gpt,1456037,facebook,R,0.9682672361260102
gpt,1412035,facebook,R,0.9202866700931304
gpt,1414294,facebook,R,0.9641547988628683
gpt,1422188,facebook,R,0.9662234678726489
gpt,1431201,facebook,R,0.9659088609189626
gpt,1411453,facebook,R,0.8959369771161678
gpt,1436803,facebook,R,0.9217058160778798
gpt,1415637,facebook,R,0.9711123272978796
gpt,1449197,facebook,R,0.984324648361778
gpt,1444268,facebook,R,0.9726138620162676
gpt,1457003,facebook,R,0.9362858016090412
gpt,1446402,facebook,R,0.9455662879845996
gpt,1426643,facebook,R,0.9603278565732511
gpt,1422686,facebook,R,0.9633025860193821
gpt,1427624,facebook,R,0.9616975652872048
gpt,1442964,facebook,R,0.88234024075783
gpt,1390752,facebook,R,0.9492340491995224
gpt,1420971,facebook,R,0.9520942373818586
gpt,1394892,facebook,R,0.9576034805738963
gpt,1402556,facebook,R,0.9324534090744321
gpt,1412700,facebook,R,0.9619963121793242
gpt,1429504,facebook,R,0.9602253293212762
gpt,1396389,facebook,R,0.9362979259253105
gpt,1425171,facebook,R,0.9487631471516805
gpt,1379377,facebook,R,0.9663933744047812
gpt,1419005,facebook,R,0.9418571325314826
gpt,1429261,facebook,R,0.9587574916822305
gpt,1423697,facebook,R,0.959542757319511
gpt,1436849,facebook,R,0.9604677658145682
gpt,1440440,facebook,R,0.97637302137818
gpt,1427154,facebook,R,0.9807921552221911
gpt,1435295,facebook,R,0.9523690014749608
gpt,1422496,facebook,R,0.9565023175420198
gpt,1449980,facebook,R,0.9621528572732558
gpt,1454481,facebook,R,0.9637529512000564
gpt,1425381,facebook,R,0.9573125949691987
gpt,1400294,facebook,R,0.9733052445044634
gpt,1412034,facebook,R,0.9542772411825527
gpt,1448308,facebook,R,0.9524701989851523
gpt,1428901,facebook,R,0.9677805356276805
gpt,1436792,facebook,R,0.9505838505566786
gpt,1445948,facebook,R,0.9577309256706007
gpt,1447531,facebook,R,0.9133729407648391
gpt,1449487,facebook,R,0.9549380198188998
gpt,1443641,facebook,R,0.9687382718083278
gpt,1412284,facebook,R,0.9497784804551157
gpt,1433032,facebook,R,0.9563191074421065
gpt,1426869,facebook,R,0.9508090220263964
gpt,1395815,facebook,R,0.9731095244755503
gpt,1400622,facebook,R,0.9208700089539884
gpt,1455457,facebook,R,0.9588741998182753
gpt,1437271,facebook,R,0.9770993347886403
gpt,1439101,facebook,R,0.978589248372078
gpt,1419643,facebook,R,0.939379826613498
gpt,1390389,facebook,R,0.9234184131667544
gpt,1430117,facebook,R,0.9611343971355816
gpt,1441764,facebook,R,0.9680969364558154
gpt,1443597,facebook,R,0.9780444132193593
gpt,1435008,facebook,R,0.9576010769520651
gpt,1449742,facebook,R,0.9462338758091946
gpt,1456113,facebook,R,0.9638537963991598
gpt,1434161,facebook,R,0.9367244545454982
gpt,1444915,facebook,R,0.9287497846699417
gpt,1435665,facebook,R,0.9425995170616177
gpt,1452141,facebook,R,0.9355226838152648
gpt,1398550,facebook,R,0.9611358032406794
gpt,1423692,facebook,R,0.9082177420301529
gpt,1440799,facebook,R,0.97661211172772
gpt,1440536,facebook,R,0.9737671767150726
gpt,1428976,facebook,R,0.9179539073841252
gpt,1456970,facebook,R,0.7839503454057355
gpt,1420265,facebook,R,0.9800568912096062
gpt,1445026,facebook,R,0.9546695299502941
gpt,1440510,facebook,R,0.973226749244845
gpt,1450638,facebook,R,0.9657640068002223
gpt,1432211,facebook,R,0.9119330705226011
gpt,1397629,facebook,R,0.9692547292343484
gpt,1430717,facebook,R,0.9556785157510412
gpt,1435290,facebook,R,0.9612011308447992
gpt,1452688,facebook,R,0.927452479726563
gpt,1429856,facebook,R,0.9573915118619788
gpt,1429266,facebook,R,0.9689201352089296
gpt,1444054,facebook,R,0.974997453345207
gpt,1441633,facebook,R,0.9639013470190683
gpt,1428447,facebook,R,0.9487298065195553
gpt,1419178,facebook,R,0.9130542501051678
gpt,1435762,facebook,R,0.9413276795107901
gpt,1446219,facebook,R,0.9667575532633625
gpt,1453641,facebook,R,0.9784087955558352
gpt,1442656,facebook,R,0.925741941107797
gpt,1450456,facebook,R,0.9605577825551481
gpt,1440033,facebook,R,0.9624162658148712
gpt,1437563,facebook,R,0.9409039335606791
gpt,1396893,facebook,R,0.9775305720992742
gpt,1444764,facebook,R,0.9456646155621106
gpt,1421560,facebook,R,0.9683535142986791
gpt,1418605,facebook,R,0.9211584540768738
gpt,1418450,facebook,R,0.973929869536226
gpt,1435094,facebook,R,0.9442458903960302
gpt,1426000,facebook,R,0.9588445058940185
gpt,1449003,facebook,R,0.9556020558991747
gpt,1399746,facebook,R,0.9508358763029514
gpt,1438995,facebook,R,0.9512662174484309
gpt,1452415,facebook,R,0.9680516361356695
gpt,1428919,facebook,R,0.9769123411562042
gpt,1401554,facebook,R,0.9621765174723829
gpt,1442843,facebook,R,0.9287075691263149
gpt,1424649,facebook,R,0.9822600001583319
gpt,1442162,facebook,R,0.9658980693616561
gpt,1413229,facebook,R,0.9626376140106312
gpt,1407112,facebook,R,0.9242039383035761
gpt,1425539,facebook,R,0.9604871530658654
gpt,1406532,facebook,R,0.9558441340911248
gpt,1424635,facebook,R,0.9324619796105541
gpt,1448286,facebook,R,0.9598264285701487
gpt,1420960,facebook,R,0.9542683715183593
gpt,1430769,facebook,R,0.9306207261973584
gpt,1438254,facebook,R,0.9313350792035594
gpt,1451252,facebook,R,0.9589913895226008
gpt,1422871,facebook,R,0.9588422266177148
gpt,1455015,facebook,R,0.9818830850963272
gpt,1450566,facebook,R,0.9547157211713146
gpt,1429537,facebook,R,0.9359214984589864
gpt,1448872,facebook,R,0.9371068849461558
gpt,1416681,facebook,R,0.978198342381283
gpt,1440221,facebook,R,0.8761389803724129
gpt,1454845,facebook,R,0.9707851085070568
gpt,1406861,facebook,R,0.9729061297810211
gpt,1439086,facebook,R,0.9690640988740254
gpt,1417655,facebook,R,0.9220987825152904
gpt,1427130,facebook,R,0.9592104977637835
gpt,1390392,facebook,R,0.9418241702438706
gpt,1422135,facebook,R,0.9510218769573648
gpt,1423974,facebook,R,0.9457234801223225
gpt,1453012,facebook,R,0.9558361232594801
gpt,1432592,facebook,R,0.9597357968637392
gpt,1127548,facebook,R,0.9550126836234514
gpt,1445105,facebook,R,0.9533198309195886
gpt,1390611,facebook,R,0.86625510307318
gpt,1400630,facebook,R,0.9638172756148605
gpt,1440549,facebook,R,0.9770958228312268
gpt,1451126,facebook,R,0.9305405017857292
gpt,1457629,facebook,R,0.9383195127204189
gpt,1455839,facebook,R,0.9606758511412552
gpt,1435951,facebook,R,0.9140800863121553
gpt,1440916,facebook,R,0.9814828290309178
gpt,1406849,facebook,R,0.9043366246077524
gpt,1434644,facebook,R,0.9470508683076823
gpt,1354330,facebook,R,0.9800725298434979
gpt,1393248,facebook,R,0.9640486187355821
gpt,1426256,facebook,R,0.9594926205165503
gpt,1426579,facebook,R,0.9578935772509879
gpt,1422885,facebook,R,0.9444462263978922
gpt,1448945,facebook,R,0.9389593127329063
gpt,1392992,facebook,R,0.9673743976735866
gpt,1401356,facebook,R,0.9587852255933158
gpt,1444527,facebook,R,0.949596675591531
gpt,1435985,facebook,R,0.9664277894421309
gpt,1441966,facebook,R,0.9233571375964845
gpt,1419152,facebook,R,0.8519935399722496
gpt,1445108,facebook,R,0.9487286425508683
gpt,1442775,facebook,R,0.941122028339418
gpt,1428643,facebook,R,0.9761442040208597
gpt,1401776,facebook,R,0.9744726492676791
gpt,1445461,facebook,R,0.9563481042155797
gpt,983555,facebook,R,0.979031795334211
gpt,1439930,facebook,R,0.9623021423799382
gpt,1424315,facebook,R,0.9629970306083468
gpt,1423960,facebook,R,0.9716617212207777
gpt,1422238,facebook,R,0.9771517690894672
gpt,1430685,facebook,R,0.9358843740099594
gpt,1417995,facebook,R,0.9331348174532065
gpt,1394486,facebook,R,0.961329893373874
gpt,1452558,facebook,R,0.9625764768251015
gpt,1441353,facebook,R,0.9667311550073898
gpt,1443939,facebook,R,0.9647495339446736
gpt,1455677,facebook,R,0.933618554760185
gpt,1448832,facebook,R,0.9716276323420656
gpt,1426417,facebook,R,0.961025981953675
gpt,1438672,facebook,R,0.9723916527068186
gpt,1438691,facebook,R,0.9667722807878849
gpt,1422482,facebook,R,0.880941464908445
gpt,1431673,facebook,R,0.9744086641988616
gpt,1447711,facebook,R,0.9488101310096639
gpt,1439116,facebook,R,0.9530136370685465
gpt,1419691,facebook,R,0.9592618414377622
gpt,1425927,facebook,R,0.9766737093345527
gpt,1430029,facebook,R,0.965846160328889
gpt,1430688,facebook,R,0.9032722138234986
gpt,1444022,facebook,R,0.9590064179694238
gpt,1439804,facebook,R,0.9816286364678993
gpt,1422291,facebook,R,0.9656820534007631
gpt,1448481,facebook,R,0.9483490586900529
gpt,1455399,facebook,R,0.9476975618286878
gpt,1433881,facebook,R,0.9284336785795582
gpt,1445240,facebook,R,0.9606055022273277
gpt,1402410,facebook,R,0.9258676707024948
gpt,1426683,facebook,R,0.9352529270521714
gpt,1435663,facebook,R,0.930218202658607
gpt,1427612,facebook,R,0.9658820100529385
gpt,1455549,facebook,R,0.981736147515418
gpt,1451836,facebook,R,0.9665362189495736
gpt,1416662,facebook,R,0.9716594359939923
gpt,1425530,facebook,R,0.9657500000693927
gpt,1458165,facebook,R,0.9729870212921856
gpt,1443373,facebook,R,0.9609290446156776
gpt,1430301,facebook,R,0.9668954233083381
gpt,1417842,facebook,R,0.9705525020153849
gpt,1397786,facebook,R,0.9556913952209265
gpt,1399656,facebook,R,0.9653531522589784
gpt,1457524,facebook,R,0.9726946146573443
gpt,1394318,facebook,R,0.9644850743519027
gpt,1392000,facebook,R,0.9522744088658687
gpt,1424505,facebook,R,0.9179527448752552
gpt,1451576,facebook,R,0.9782659030381007
gpt,1456421,facebook,R,0.9664957669392152
gpt,1445277,facebook,R,0.970086686634978
gpt,1444801,facebook,R,0.9737068433803082
gpt,1399630,facebook,R,0.9573474878664028
gpt,1433125,facebook,R,0.9465584762518585
gpt,1391762,facebook,R,0.9717939184498388
gpt,1404982,facebook,R,0.9586237526947676
gpt,1428850,facebook,R,0.9715009178297589
gpt,1443397,facebook,R,0.8910485721076218
gpt,1457918,facebook,R,0.9234929109754009
gpt,1441112,facebook,R,0.9695159110046692
gpt,1448059,facebook,R,0.9846484535843988
gpt,1446678,facebook,R,0.9700281745039963
gpt,1445984,facebook,R,0.919459337471952
gpt,1420403,facebook,R,0.9632022009882122
gpt,1446214,facebook,R,0.9476742659870495
gpt,1434405,facebook,R,0.9406413138411156
gpt,1441439,facebook,R,0.9305442718233782
gpt,1446756,facebook,R,0.9563679036820182
gpt,1412084,facebook,R,0.9624741525593834
gpt,1454650,facebook,R,0.957841605057099
gpt,1401722,facebook,R,0.9718301910513056
gpt,1412495,facebook,R,0.9698239951261054
gpt,1429539,facebook,R,0.8850580330986496
gpt,1453687,facebook,R,0.9508528052536628
gpt,1396449,facebook,R,0.9515395478502562
gpt,1447004,facebook,R,0.9819380454063585
gpt,1418005,facebook,R,0.9726097080316216
gpt,1418742,facebook,R,0.9627920614165864
gpt,1453259,facebook,R,0.9605529826433853
gpt,1426744,facebook,R,0.9560089717682637
gpt,1429564,facebook,R,0.9755251180149993
gpt,1448388,facebook,R,0.9615078852258836
gpt,1457158,facebook,R,0.9767778101503555
gpt,1425036,facebook,R,0.947174955251055
gpt,1434226,facebook,R,0.951369251780658
gpt,1416045,facebook,R,0.964879640666495
gpt,1395213,facebook,R,0.9763897145715617
gpt,1411483,facebook,R,0.8829704384349623
gpt,1424280,facebook,R,0.9407465425378154
gpt,1426082,facebook,R,0.9531207101764261
gpt,1424550,facebook,R,0.9799179772579589
gpt,1433901,facebook,R,0.9562809070421371
gpt,1412802,facebook,R,0.9688738613280039
gpt,1397736,facebook,R,0.9595862142297085
gpt,1422481,facebook,R,0.8978939039207028
gpt,1384934,facebook,R,0.977985238044256
gpt,1426605,facebook,R,0.917543712045451
gpt,1401029,facebook,R,0.9486991709532768
gpt,1412612,facebook,R,0.9330634468401415
gpt,1415205,facebook,R,0.9148296760471555
gpt,1416390,facebook,R,0.9693969308960938
gpt,1406260,facebook,R,0.9535735114134434
gpt,1446968,facebook,R,0.960608446254366
gpt,1453873,facebook,R,0.9686373158736712
gpt,1441220,facebook,R,0.9482760933692302
gpt,1433358,facebook,R,0.948579311529485
gpt,1430679,facebook,R,0.9263455991666355
gpt,1442946,facebook,R,0.9668357527359512
gpt,1448636,facebook,R,0.97584294057825
gpt,1457873,facebook,R,0.9665909272671669
gpt,1440192,facebook,R,0.9492939998951238
gpt,1422842,facebook,R,0.927445765005436
gpt,1446042,facebook,R,0.9742046440546931
gpt,1411191,facebook,R,0.9829492773885159
gpt,1429958,facebook,R,0.9504362425658899
gpt,1394866,facebook,R,0.9580016005471963
gpt,1440964,facebook,R,0.9803434301276113
gpt,1393973,facebook,R,0.8801775185220693
gpt,1451500,facebook,R,0.9613926694361753
gpt,1424639,facebook,R,0.9503792765942045
gpt,1393517,facebook,R,0.9699985717651303
gpt,1401071,facebook,R,0.9590466881144005
gpt,1433833,facebook,R,0.9460421637419656
gpt,1442395,facebook,R,0.9792855519745916
gpt,1445018,facebook,R,0.9782743748217037
gpt,1401270,facebook,R,0.9643872944478445
gpt,1412237,facebook,R,0.9471830488444561
gpt,1436022,facebook,R,0.9665786626719424
gpt,1414208,facebook,R,0.9611889238199247
gpt,1428953,facebook,R,0.9754263566244357
gpt,1367136,facebook,R,0.9504962774774601
gpt,1429298,facebook,R,0.9690290178563234
gpt,1447935,facebook,R,0.9506764042066893
gpt,1411685,facebook,R,0.9648928867878377
gpt,1421034,facebook,R,0.9635619563927086
gpt,1426051,facebook,R,0.9368029650799381
gpt,1389948,facebook,R,0.9617207485467669
gpt,1448996,facebook,R,0.9730530997686412
gpt,1432426,facebook,R,0.9757870463767055
gpt,1444321,facebook,R,0.9714291025861429
gpt,1439758,facebook,R,0.959963158898161
gpt,1453245,facebook,R,0.9654354102452094
gpt,1453583,facebook,R,0.9686457393032639
gpt,1437141,facebook,R,0.942580379611611
gpt,1424679,facebook,R,0.9216059482767367
gpt,1398586,facebook,R,0.9637457579932172
gpt,1437278,facebook,R,0.9492358259848163
gpt,1405073,facebook,R,0.9722405899870293
gpt,1426887,facebook,R,0.9732143791190191
gpt,1448794,facebook,R,0.9558742516108356
gpt,1404818,facebook,R,0.9806922478196145
gpt,1397470,facebook,R,0.9633649512694893
gpt,1444085,facebook,R,0.9519909201131316
gpt,1433020,facebook,R,0.9729437384350723
gpt,1458267,facebook,R,0.9639476065805841
gpt,1432688,facebook,R,0.9146517945424384
gpt,1401254,facebook,R,0.9363323248036706
gpt,1401643,facebook,R,0.949450089947419
gpt,1447503,facebook,R,0.9617678649833663
gpt,1423464,facebook,R,0.9591369743016953
gpt,1443110,facebook,R,0.9318799478640697
gpt,1433095,facebook,R,0.945439746940558
gpt,1401499,facebook,R,0.956787042589333
gpt,1416727,facebook,R,0.9561483814636235
gpt,1436315,facebook,R,0.9608765104548315
gpt,1277992,facebook,R,0.9792458454961291
gpt,1411573,facebook,R,0.9641023926392192
gpt,1413794,facebook,R,0.8779481384588712
gpt,1441572,facebook,R,0.9228857503582475
gpt,1425310,facebook,R,0.9660389871790898
gpt,1450334,facebook,R,0.9750993948540536
gpt,1428903,facebook,R,0.9188876250089764
gpt,1423643,facebook,R,0.9630847065083075
gpt,1451439,facebook,R,0.9293425198309229
gpt,1393849,facebook,R,0.9612785996778966
gpt,1423668,facebook,R,0.9526732298661391
gpt,1432353,facebook,R,0.9664593881996151
gpt,1451602,facebook,R,0.9539674399986048
gpt,1452998,facebook,R,0.9782018493076513
gpt,1135197,facebook,R,0.9357278286936027
gpt,1403654,facebook,R,0.9469096868407972
gpt,1437862,facebook,R,0.9214256479656046
gpt,1414154,facebook,R,0.9489897190830043
gpt,1415779,facebook,R,0.9752893858743645
gpt,1414671,facebook,R,0.9751696560828423
gpt,1439954,facebook,R,0.9653075649291483
gpt,1404705,facebook,R,0.9627663340840505
gpt,1450925,facebook,R,0.9703297584245617
gpt,1450595,facebook,R,0.950222964629813
gpt,1419579,facebook,R,0.9684112998971145
gpt,1449641,facebook,R,0.9789442818489845
gpt,1390471,facebook,R,0.9400100773127522
gpt,1431056,facebook,R,0.9674020789923304
gpt,1421001,facebook,R,0.9665979439863572
gpt,1431215,facebook,R,0.9795672464464438
gpt,1415419,facebook,R,0.976455459244232
gpt,1430279,facebook,R,0.974715449646769
gpt,1421830,facebook,R,0.9667682116078657
gpt,1450951,facebook,R,0.9737362116447994
gpt,1417719,facebook,R,0.8798617245073102
gpt,1455294,facebook,R,0.9678369357331318
gpt,1421559,facebook,R,0.9669971097507513
gpt,1458437,facebook,R,0.939158983834999
gpt,1398136,facebook,R,0.9705841245950737
gpt,1436094,facebook,R,0.9538699105041356
gpt,1446224,facebook,R,0.966342256159311
gpt,1399884,facebook,R,0.943931957250087
gpt,1433740,facebook,R,0.9615950765588066
gpt,1411237,facebook,R,0.9563780436291659
gpt,1394432,facebook,R,0.9589264629315222
gpt,1406652,facebook,R,0.956111620345673
gpt,1457164,facebook,R,0.9498927126673218
gpt,1434692,facebook,R,0.9524795444100924
gpt,1402043,facebook,R,0.9743138501907909
gpt,1428489,facebook,R,0.9717781347586938
gpt,1432254,facebook,R,0.9719758993215604
gpt,1455556,facebook,R,0.9634293427985016
gpt,1405641,facebook,R,0.9360960982418851
gpt,1432727,facebook,R,0.9503580083589575
gpt,1451412,facebook,R,0.9434802279367835
gpt,1415375,facebook,R,0.9751077912190629
gpt,1421459,facebook,R,0.9813521161738205
gpt,1454504,facebook,R,0.9534772211446996
gpt,1396416,facebook,R,0.9522372021104715
gpt,1418583,facebook,R,0.9514860232869506
gpt,1424654,facebook,R,0.9277493134507376
gpt,1092997,facebook,R,0.9716209779520923
gpt,1426879,facebook,R,0.9735386466171282
gpt,1452861,facebook,R,0.9634531393039558
gpt,1428401,facebook,R,0.9789047177379459
gpt,1440908,facebook,R,0.9748182763346028
gpt,1451521,facebook,R,0.9590722070188821
gpt,1400967,facebook,R,0.9620935846865474
gpt,1392884,facebook,R,0.9415935736375914
gpt,1424971,facebook,R,0.9610233248886005
gpt,1420794,facebook,R,0.9264340467175043
gpt,1401048,facebook,R,0.9326235618578961
gpt,1445625,facebook,R,0.912778647656227
gpt,1449170,facebook,R,0.9788718690581136
gpt,1456723,facebook,R,0.9561341443758659
gpt,1457051,facebook,R,0.891774804027195
gpt,1444290,facebook,R,0.9589403854102059
gpt,1456429,facebook,R,0.9725745969181174
gpt,1411810,facebook,R,0.9647390903153594
gpt,1438606,facebook,R,0.9540962012071206
gpt,1425041,facebook,R,0.952986488529959
gpt,1451700,facebook,R,0.9616181063062624
gpt,1426918,facebook,R,0.9578960730598867
gpt,1392765,facebook,R,0.9624705503230154
gpt,1434816,facebook,R,0.8753544906482922
gpt,1444243,facebook,R,0.9651627010869398
gpt,1416752,facebook,R,0.968890270694251
gpt,1418312,facebook,R,0.9671585657557578
gpt,1391359,facebook,R,0.9673519081414819
gpt,1415981,facebook,R,0.9415864524502624
gpt,1442924,facebook,R,0.9534309652719175
gpt,1431076,facebook,R,0.9350049490575358
gpt,1419135,facebook,R,0.9006477812657084
gpt,1405583,facebook,R,0.9527030881540561
gpt,1412946,facebook,R,0.9738164057493245
gpt,1452232,facebook,R,0.967772915785138
gpt,1442793,facebook,R,0.8657374512143009
gpt,1428419,facebook,R,0.9143610304569932
gpt,1435059,facebook,R,0.9605649003240315
gpt,1455286,facebook,R,0.9515947863662215
gpt,1455278,facebook,R,0.9741723868938674
gpt,1422243,facebook,R,0.9722713514715933
gpt,1413381,facebook,R,0.9501778587643372
gpt,1420390,facebook,R,0.8879858767133231
